2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-2.739215,#load/mN#-0.003381 loadDisp_c15r13_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
6.017686	173.312022	5.869327	5.865946	170.572807
6.076008	174.853760	5.927635	5.924254	172.114545
6.131752	176.117642	5.986149	5.982768	173.378427
6.185479	178.309275	6.038416	6.035035	175.57006
6.244066	180.029369	6.095691	6.09231	177.290154
6.302084	181.163067	6.154063	6.150682	178.423852
6.361585	182.995450	6.213193	6.209812	180.256235
6.419107	184.864768	6.271282	6.267901	182.125553
6.478705	185.898426	6.329726	6.326345	183.159211
6.538689	187.828198	6.390164	6.386783	185.08898299999998
6.597759	188.984167	6.449362	6.445981	186.244952
6.656912	190.013763	6.508835	6.505454	187.274548
6.712430	191.333411	6.566547	6.563166	188.594196
6.766597	192.620411	6.618600	6.615219	189.881196
6.826272	193.260677	6.677979	6.674598	190.52146199999999
6.884893	195.679639	6.736667	6.733286	192.940424
6.941294	197.354134	6.794627	6.791246	194.614919
7.000085	197.681363	6.850225	6.846844	194.942148
7.059153	199.483211	6.910826	6.907445	196.743996
7.117159	200.067853	6.968921	6.96554	197.328638
7.175529	201.562722	7.027243	7.023862	198.823507
7.235550	203.819484	7.086930	7.083549	201.080269
7.295130	205.029698	7.146798	7.143417	202.290483
7.353958	206.112315	7.205900	7.202519	203.3731
7.410499	207.846450	7.263374	7.259993	205.107235
7.469185	208.706535	7.321410	7.318029	205.96732
7.528918	210.225458	7.380638	7.377257	207.486243
7.588131	211.454746	7.439717	7.436336	208.715531
7.647082	212.526032	7.498720	7.4953389999999995	209.78681699999999
7.705009	213.439717	7.556658	7.553277	210.700502
7.764537	214.689115	7.616115	7.612734	211.94989999999999
7.823411	216.046297	7.675196	7.671815	213.307082
7.882365	216.592982	7.734285	7.730904	213.853767
7.937452	218.304431	7.791658	7.788277	215.565216
7.993090	219.729131	7.845687	7.842306	216.989916
8.053114	220.855975	7.904525	7.9011439999999995	218.11676
8.113352	221.724456	7.964843	7.961462	218.985241
8.172948	222.721738	8.024494	8.021113000000001	219.982523
8.234762	223.870206	8.085945	8.082564000000001	221.130991
8.294723	226.331064	8.145663	8.142282000000002	223.591849
8.354054	227.406333	8.205849	8.202468000000001	224.667118
8.411086	228.786914	8.263936	8.260555	226.047699
8.467534	230.623940	8.320036	8.316655	227.884725
8.528062	231.495094	8.379287	8.375906	228.755879
8.587738	233.449596	8.439437	8.436056	230.710381
8.647014	234.260474	8.499206	8.495825	231.521259
8.705231	235.013099	8.557920	8.554539	232.273884
8.757841	236.337507	8.611970	8.608589	233.598292
8.812412	237.237686	8.665715	8.662334000000001	234.498471
8.870621	238.621291	8.722160	8.718779000000001	235.882076
8.930731	239.704299	8.781747	8.778366	236.965084
8.989360	241.098998	8.841035	8.837654	238.359783
9.048446	243.279753	8.900126	8.896745000000001	240.540538
9.106953	244.853495	8.958718	8.955337	242.11428
9.166069	247.044700	9.017865	9.014484000000001	244.305485
9.222172	248.620687	9.076149	9.072768	245.881472
9.279826	249.452805	9.132061	9.128680000000001	246.71359
9.339316	252.024693	9.190921	9.18754	249.285478
9.399105	253.036270	9.251121	9.24774	250.297055
9.456352	254.071255	9.308456	9.305075	251.33204
9.516039	255.466096	9.367883	9.364502000000002	252.726881
9.576123	255.928676	9.428021	9.42464	253.189461
9.634856	256.819447	9.486603	9.483222000000001	254.08023200000002
9.695170	258.136410	9.546956	9.543575	255.397195
9.752635	259.371477	9.604811	9.60143	256.632262
9.811486	260.317656	9.663424	9.660043	257.578441
9.870721	261.826069	9.722705	9.719324	259.086854
9.931089	263.255106	9.782717	9.779336	260.515891
9.989141	264.127234	9.841543	9.838162	261.388019
10.046958	266.172292	9.899194	9.895813	263.433077
10.103912	267.363682	9.956371	9.952990000000002	264.624467
10.167780	267.919933	10.000000	9.996619	265.180718
