2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-2.223184,#load/mN#-0.006667 loadDisp_c13r14_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
5.619744	240.722373	5.440930	5.434263	238.499189
5.679335	242.475786	5.500966	5.494299	240.252602
5.738251	244.467113	5.559817	5.55315	242.243929
5.796441	250.811430	5.617805	5.6111379999999995	248.588246
5.855569	253.974453	5.677029	5.670362	251.751269
5.914657	255.850951	5.736441	5.729774	253.627767
5.972557	259.520070	5.794300	5.787633	257.296886
6.031376	261.719118	5.853090	5.846423	259.495934
6.089007	263.265825	5.911148	5.904481	261.042641
6.147109	264.750996	5.968916	5.962249	262.527812
6.205675	266.395931	6.027264	6.0205969999999995	264.172747
6.264961	267.941755	6.086601	6.079934	265.718571
6.323908	270.187349	6.145401	6.1387339999999995	267.964165
6.383058	273.071658	6.204606	6.197939	270.848474
6.441381	275.596399	6.263137	6.25647	273.373215
6.499066	277.226330	6.320785	6.314118	275.003146
6.558663	278.976168	6.380452	6.373785	276.75298399999997
6.616761	280.465050	6.438432	6.4317649999999995	278.241866
6.675927	283.032604	6.498008	6.491340999999999	280.80942
6.733706	285.523297	6.556031	6.549364	283.300113
6.784833	287.142027	6.609511	6.602844	284.918843
6.836348	289.563002	6.660240	6.653573	287.339818
6.892621	291.606364	6.714306	6.7076389999999995	289.38318
6.954325	293.668350	6.775662	6.768994999999999	291.445166
7.014417	295.596966	6.835956	6.829289	293.373782
7.074219	297.251489	6.895113	6.888446	295.028305
7.134312	299.588846	6.955100	6.948433	297.365662
7.192471	302.216861	7.014063	7.007396	299.993677
7.251878	304.789741	7.073265	7.066598	302.566557
7.312581	306.441867	7.133984	7.127317	304.218683
7.372862	309.133473	7.194535	7.187868	306.910289
7.431530	311.620185	7.253455	7.246788	309.397001
7.490907	314.049278	7.312568	7.3059009999999995	311.826094
7.548363	315.834322	7.370369	7.363702	313.611138
7.606326	317.667157	7.428224	7.421557	315.44397299999997
7.665409	320.588190	7.487211	7.480544	318.365006
7.724589	324.235044	7.546434	7.539766999999999	322.01186
7.783728	326.690449	7.605145	7.598478	324.467265
