2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#+0.324883,#load/mN#-0.004869 loadDisp_c5r5_ht.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
5.963521	216.887518	3.486147	217.212401	3.481278
6.020924	220.744793	3.520711	221.069676	3.515842
6.074630	222.937159	3.554375	223.262042	3.549506
6.128736	224.844840	3.586237	225.169723	3.5813680000000003
6.186359	227.113476	3.620143	227.438359	3.6152740000000003
6.244547	228.018107	3.654768	228.34299	3.649899
6.302277	231.554061	3.689605	231.878944	3.684736
6.359417	234.181924	3.723876	234.506807	3.7190070000000004
6.416760	235.984075	3.758240	236.308958	3.753371
6.473369	237.137943	3.792368	237.462826	3.7874990000000004
6.530625	237.408833	3.826826	237.733716	3.8219570000000003
6.582831	238.931982	3.858947	239.256865	3.8540780000000003
6.642510	241.123160	3.893501	241.448043	3.8886320000000003
6.702014	242.032734	3.929228	242.357617	3.9243590000000004
6.759787	245.736124	3.964157	246.061007	3.9592880000000004
6.810814	247.053253	3.996411	247.378136	3.9915420000000004
6.863400	248.593217	4.027626	248.9181	4.0227569999999995
6.918072	251.588586	4.060479	251.913469	4.05561
6.973024	252.957547	4.092689	253.28243	4.08782
7.038998	254.356233	4.132076	254.681116	4.127206999999999
7.094445	256.228034	4.166204	256.552917	4.161334999999999
7.151456	257.864599	4.199643	258.189482	4.194774
7.212990	260.135973	4.235802	260.460856	4.230932999999999
7.270015	261.541194	4.271718	261.866077	4.266849
7.325918	263.645366	4.304543	263.970249	4.2996739999999996
7.386122	265.013439	4.339625	265.338322	4.334756
7.448661	265.653721	4.376710	265.978604	4.371841
7.504532	268.014123	4.412180	268.339006	4.407311
7.560130	270.372956	4.445205	270.697839	4.440335999999999
7.616739	272.987089	4.479717	273.311972	4.474848
7.670989	275.033193	4.511492	275.358076	4.506622999999999
7.726273	276.307043	4.545066	276.631926	4.540197
7.782913	278.681170	4.577630	279.006053	4.572761
7.841748	279.965751	4.612596	280.290634	4.607727
7.903779	280.534524	4.649415	280.859407	4.644546
7.962600	282.389763	4.685993	282.714646	4.681124
8.020690	282.972408	4.720143	283.297291	4.715274
8.078257	284.903762	4.754842	285.228645	4.749973
8.134684	286.979602	4.790508	287.304485	4.785639
8.191353	288.477410	4.822545	288.802293	4.817676
8.252484	290.639712	4.858731	290.964595	4.8538619999999995
8.312311	292.239422	4.895406	292.564305	4.890537
8.371567	295.210845	4.931096	295.535728	4.926227
8.429345	298.073171	4.966031	298.398054	4.961162
8.488298	300.541373	5.000814	300.866256	4.995945
8.549070	303.667905	5.037409	303.992788	5.03254
8.608869	305.341602	5.073595	305.666485	5.068726
8.667892	307.829057	5.108897	308.15394	5.104028
8.729713	308.862170	5.145498	309.187053	5.140629
8.786478	310.105977	5.181539	310.43086	5.17667
8.840511	313.771581	5.213940	314.096464	5.209071
8.893612	314.763065	5.245380	315.087948	5.240511
8.952965	316.939309	5.279862	317.264192	5.274992999999999
9.012387	318.294980	5.315296	318.619863	5.310427
9.073258	319.370885	5.351833	319.695768	5.346964
9.129528	320.631487	5.387052	320.95637	5.3821829999999995
9.185312	321.868680	5.419875	322.193563	5.415006
9.242288	324.397730	5.455041	324.722613	5.450171999999999
9.299706	327.639221	5.487433	327.964104	5.482564
9.360017	329.777837	5.523485	330.10272	5.518616
9.420109	331.772728	5.560005	332.097611	5.555136
9.474463	331.456853	5.594277	331.781736	5.589408
9.530726	334.013522	5.626047	334.338405	5.621178
9.583755	336.009088	5.659698	336.333971	5.654828999999999
9.642523	339.187970	5.693520	339.512853	5.688651
9.702097	342.645991	5.728914	342.970874	5.724044999999999
9.760831	343.019810	5.764207	343.344693	5.759338
9.819355	344.294109	5.799773	344.618992	5.794904
9.878319	345.344287	5.834973	345.66917	5.8301039999999995
9.936515	346.097987	5.869937	346.42287	5.865068
9.997961	347.471798	5.905922	347.796681	5.901053
10.054554	348.624448	5.941183	348.949331	5.936313999999999
10.110372	350.808477	5.974778	351.13336	5.9699089999999995
10.171106	353.540956	6.000000	353.865839	5.995131
